"Time","value"
2024-10-22 05:27:02,37.7
2024-10-22 05:27:02,68.7
2024-10-22 05:27:02,70.6
2024-10-22 05:27:02,72.6
2024-10-22 05:27:02,74.9
2024-10-22 05:27:02,81.2
2024-10-22 05:27:02,83.3
2024-10-22 05:27:02,85.2
2024-10-22 05:27:02,87.9
2024-10-22 05:27:02,91.4
2024-10-22 05:27:02,4.04
2024-10-22 05:27:02,6.24
2024-10-22 05:27:02,8.64
2024-10-22 05:27:02,9.26
2024-10-22 05:27:02,13.4
2024-10-22 05:27:02,14.2
2024-10-22 05:27:02,12.9
2024-10-22 05:27:02,14.4
2024-10-22 05:27:02,16.3
2024-10-22 05:27:02,16.1
2024-10-22 05:27:03,16.8
2024-10-22 05:27:03,3.50
2024-10-22 05:27:03,6.42
2024-10-22 05:27:03,6.41
2024-10-22 05:27:03,4.00
2024-10-22 05:27:03,4.00
2024-10-22 05:27:03,8.00
2024-10-22 05:27:03,8.42
2024-10-22 05:27:03,8.43
2024-10-22 05:27:03,9.98
2024-10-22 05:27:03,5.35
2024-10-22 05:27:03,4.42
2024-10-22 05:27:03,4.53
2024-10-22 05:27:03,10.7
2024-10-22 05:27:03,7.94
2024-10-22 05:27:03,7.00
2024-10-22 05:27:03,13.0
2024-10-22 05:27:03,11.0
2024-10-22 05:27:03,8.38
2024-10-22 05:27:03,8.10
2024-10-22 05:27:04,4.83
2024-10-22 05:27:04,4.29
2024-10-22 05:27:04,3.77
2024-10-22 05:27:04,3.91
2024-10-22 05:27:04,3.80
2024-10-22 05:27:04,6.00
2024-10-22 05:27:04,8.00
2024-10-22 05:27:04,3.97
2024-10-22 05:27:04,12.2
2024-10-22 05:27:04,4.00
2024-10-22 05:27:04,3.83
2024-10-22 05:27:04,3.37
2024-10-22 05:27:04,2.85
2024-10-22 05:27:04,3.87
2024-10-22 05:27:04,4.00
2024-10-22 05:27:04,7.24
2024-10-22 05:27:04,7.23
2024-10-22 05:27:04,9.84
2024-10-22 05:27:04,7.52
2024-10-22 05:27:05,1.99
2024-10-22 05:27:05,5.05
2024-10-22 05:27:05,3.00
2024-10-22 05:27:05,4.00
2024-10-22 05:27:05,4.29
2024-10-22 05:27:05,6.00
2024-10-22 05:27:05,5.40
2024-10-22 05:27:05,6.95
2024-10-22 05:27:05,4.41
2024-10-22 05:27:05,3.81
2024-10-22 05:27:05,3.54
2024-10-22 05:27:05,3.95
2024-10-22 05:27:05,3.00
2024-10-22 05:27:05,3.06
2024-10-22 05:27:05,3.09
2024-10-22 05:27:05,3.25
2024-10-22 05:27:05,3.00
2024-10-22 05:27:05,5.00
2024-10-22 05:27:05,3.52
2024-10-22 05:27:05,3.00
2024-10-22 05:27:06,4.00
2024-10-22 05:27:06,13.1
2024-10-22 05:27:06,10.9
2024-10-22 05:27:06,8.16
2024-10-22 05:27:06,7.70
2024-10-22 05:27:06,5.83
2024-10-22 05:27:06,4.11
2024-10-22 05:27:06,7.88
2024-10-22 05:27:06,5.53
2024-10-22 05:27:06,6.60
2024-10-22 05:27:06,3.88
2024-10-22 05:27:06,7.81
2024-10-22 05:27:06,8.05
2024-10-22 05:27:06,7.05
2024-10-22 05:27:06,8.21
